model, augmentations, timestamp, accuracy, precision_macro, recall_macro, f1_macro, precision_weighted, recall_weighted, f1_weighted
Random Forest,None,2023-10-27 13:55:49,0.901996156403986,0.7760233586743925,0.8614753937978447,0.8103379293883155,0.9305967312710909,0.901996156403986,0.9122719694303306
Random Forest,RealTabFormer,2023-10-27 19:48:48,0.9790644456895694,0.894446134299581,0.9137583709268612,0.9012568949000318,0.9798248011313102,0.9790644456895694,0.9791263227258933
Random Forest,SMOTE,2023-10-30 09:51:53,0.980776783423314,0.8817885152737991,0.9178149460492709,0.8898155950365582,0.9818199674206097,0.980776783423314,0.9811502613830541
Random Forest,SMOTE-NC,2023-10-30 22:05:49,0.9807532191425744,0.8818722929324333,0.9177695473595733,0.8899494384219993,0.9817873413122721,0.9807532191425744,0.9811233149171115
