model,augmentations,timestamp,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
TabNet,None,2023-10-30 17:00:11,0.8876428911801515,0.806990755467713,0.6615681471696272,0.6370501787430676,0.9496132983733057,0.8876428911801515,0.8819949677029951
TabNet,RealTabFormer,2023-10-30 18:57:13,0.9089135819277676,0.7016215662157813,0.6502435393276048,0.6339606237448083,0.920834074990724,0.9089135819277676,0.9034770159511706
TabNet,SMOTE,2023-10-30 23:54:19,0.9224604250996246,0.7304262003482672,0.6608413383093314,0.6585123824048722,0.9311362971515965,0.9224604250996246,0.9161548460471433
TabNet,SMOTE-NC,2023-10-31 11:36:16,0.9085286986756874,0.8150485182641481,0.6300445685262367,0.6036756685029562,0.9402391290713216,0.9085286986756874,0.9003517042413669
