model, augmentations, timestamp, accuracy, precision_macro, recall_macro, f1_macro, precision_weighted, recall_weighted, f1_weighted
Neural Net,None,2023-10-27 15:06:29,0.9494153440123163,0.8566639701809168,0.7711114890632532,0.7794546918290729,0.9623384218527102,0.9494153440123163,0.9448168693463704
Neural Net,SMOTE,2023-10-30 03:02:20,0.9417700440390224,0.7672877251958748,0.8061320026673329,0.7647657900784516,0.9506214778214638,0.9417700440390224,0.9437199907233511
Neural Net,SMOTE-NC,2023-10-30 21:19:03,0.938512936790126,0.7748496841525007,0.8098995907696593,0.7598502519914446,0.9540812014765685,0.938512936790126,0.941217660911046
Neural Net,RealTabFormer,2023-10-30 21:50:25,0.935913011148523,0.7939815534589033,0.7879987611617302,0.7662382958953542,0.9490447112655422,0.935913011148523,0.9369863377592714
Neural Net,GReaT,2023-11-03 11:12:48,0.9369969680625448,0.741411814624638,0.7968752604703343,0.7157925682410543,0.9573176811337422,0.9369969680625448,0.9384888380278528
