model, augmentations, timestamp, accuracy, precision_macro, recall_macro, f1_macro, precision_weighted, recall_weighted, f1_weighted
Decision Tree,None,2023-10-27 13:43:08,0.8892007519623809,0.7435274859983392,0.8585289927645178,0.7876018110976448,0.9271013556157864,0.8892007519623809,0.9023598710996502
Decision Tree,RealTabFormer,2023-10-27 19:31:09,0.8701372488440411,0.6611129085484805,0.8563235993216839,0.7171067476216135,0.927179788659798,0.8701372488440411,0.8906450549313214
Decision Tree,SMOTE,2023-10-30 09:59:02,0.9795880963726717,0.8737457877777868,0.9118425928604309,0.8818854760301726,0.9806779119190329,0.9795880963726717,0.9799820602586109
Decision Tree,SMOTE-NC,2023-10-30 21:58:22,0.979538349557777,0.8735905729042206,0.9116461406124252,0.8816447619326795,0.980630486392466,0.979538349557777,0.9799360855549593
